Brand,Model,Year,Kilometer Driven (km),Fuel Type,Transmission Type,Location,Price (INR)
Ford,Endeavour,2020,193218,Petrol,Manual,Bangalore,2721017.3
Nissan,Terrano,2003,126514,Diesel,Manual,Mumbai,211022.9
Nissan,Kicks,2019,98386,CNG,Automatic,Ahmedabad,855242.1
Honda,Jazz,2013,115052,CNG,Manual,Chennai,132742.2
Maruti Suzuki,Dzire,2019,141358,Electric,Automatic,Kolkata,358796.3
Mercedes,S-Class,2017,81926,CNG,Manual,Hyderabad,9637711.1
BMW,M3,2016,184588,CNG,Automatic,Chennai,6972311.8
Audi,A6,2010,96210,Diesel,Manual,Hyderabad,4685568.5
Ford,EcoSport,2016,50955,Diesel,Automatic,Kolkata,362356.75
Ford,Fiesta,2005,186552,Diesel,Manual,Pune,50000.0
Honda,Civic,2020,71092,Electric,Manual,Mumbai,489336.2
BMW,M3,2018,100286,Diesel,Automatic,Mumbai,7154957.1
Ford,Fiesta,2011,93079,CNG,Automatic,Hyderabad,50000.0
Hyundai,Elantra,2010,129225,CNG,Manual,Chennai,500616.25
Nissan,Terrano,2009,133396,Diesel,Automatic,Chennai,499990.6
Hyundai,Creta,2006,178365,Diesel,Automatic,Ahmedabad,493245.25
Tata,Altroz,2002,84614,Petrol,Manual,New Delhi,50000.0
Ford,EcoSport,2015,84669,Petrol,Manual,Hyderabad,257299.65
Toyota,Corolla,2014,47443,Diesel,Manual,Bangalore,672883.55
Honda,Jazz,2022,62536,Diesel,Automatic,Chennai,610619.6
Ford,Endeavour,2016,64168,Electric,Automatic,Pune,2510374.8
Ford,EcoSport,2001,103023,Electric,Manual,Chennai,50000.0
Ford,EcoSport,2016,28740,Diesel,Manual,Ahmedabad,295689.0
Honda,Civic,2001,119568,Petrol,Manual,Bangalore,50000.0
Ford,Fiesta,2023,163698,Electric,Automatic,Hyderabad,455445.3
Hyundai,Verna,2002,11847,Diesel,Manual,Kolkata,50000.0
Maruti Suzuki,Vitara Brezza,2013,47297,Petrol,Automatic,Ahmedabad,162905.45
BMW,3 Series,2006,104333,Petrol,Automatic,Kolkata,3034350.05
BMW,X5,2001,83075,Electric,Manual,New Delhi,6867538.75
Ford,Endeavour,2006,7198,Petrol,Automatic,Ahmedabad,2048920.3
Hyundai,Creta,2001,81649,CNG,Automatic,New Delhi,317752.65
Hyundai,Creta,2023,92590,Petrol,Automatic,Chennai,1386111.5
Maruti Suzuki,Dzire,2006,165942,Electric,Manual,Hyderabad,50000.0
Tata,Nexon,2022,179221,Electric,Manual,Bangalore,723116.85
BMW,M3,2017,61593,CNG,Manual,Ahmedabad,7070761.05
Ford,EcoSport,2024,185920,Diesel,Automatic,Bangalore,772112.0
Hyundai,Creta,2014,195231,Diesel,Manual,Pune,920715.35
Mercedes,E-Class,2022,99906,Petrol,Manual,Hyderabad,6315014.1
Toyota,Fortuner,2004,147027,Electric,Manual,Pune,2477945.95
Audi,Q5,2016,171695,Electric,Manual,Chennai,5474245.75
BMW,3 Series,2024,71193,Diesel,Automatic,Ahmedabad,3939321.05
Toyota,Corolla,2018,26215,Diesel,Manual,Pune,796067.75
Toyota,Innova,2009,151777,Diesel,Manual,Kolkata,777233.45
Honda,City,2018,144243,CNG,Manual,Kolkata,578363.55
Nissan,Magnite,2012,71825,Diesel,Automatic,Chennai,50000.0
Hyundai,Elantra,2017,22330,Petrol,Manual,Mumbai,916650.5
Toyota,Corolla,2008,105476,CNG,Manual,Kolkata,284178.6
Maruti Suzuki,Dzire,2021,163358,Diesel,Automatic,New Delhi,445496.3
BMW,3 Series,2013,179878,Electric,Manual,Ahmedabad,3323018.3
Nissan,Magnite,2019,84070,CNG,Manual,New Delhi,357389.5
Audi,A4,2003,95199,Electric,Manual,Kolkata,3355720.15
Ford,Endeavour,2011,166801,Diesel,Automatic,Ahmedabad,2274979.85
Mercedes,S-Class,2005,32209,CNG,Manual,New Delhi,8995168.65
BMW,M3,2001,127866,Diesel,Automatic,Chennai,6300820.1
Mercedes,E-Class,2014,7029,Electric,Manual,New Delhi,6018945.65
Maruti Suzuki,Swift,2006,105633,Diesel,Automatic,Ahmedabad,50000.0
Tata,Harrier,2002,192803,CNG,Automatic,Kolkata,541079.55
Honda,City,2004,105151,Petrol,Automatic,Kolkata,50000.0
BMW,M3,2002,96427,Electric,Manual,Pune,6285535.95
Audi,Q5,2011,115339,CNG,Automatic,Kolkata,5262699.15
Nissan,Terrano,2021,83441,Diesel,Manual,Kolkata,1107483.85
BMW,X5,2009,164024,Diesel,Automatic,New Delhi,7175396.4
Ford,Endeavour,2013,167017,Electric,Manual,Hyderabad,2324947.45
Audi,A6,2016,181982,Electric,Manual,Bangalore,5022702.7
Mercedes,E-Class,2009,83775,CNG,Automatic,Kolkata,5737433.75
Hyundai,Creta,2001,185719,Petrol,Manual,Bangalore,272142.15
Hyundai,Creta,2000,72608,Diesel,Manual,Kolkata,259108.8
Nissan,Magnite,2018,99208,Electric,Automatic,Hyderabad,235118.8
Ford,Endeavour,2012,154636,CNG,Manual,Mumbai,2396804.6
BMW,M3,2014,48085,Diesel,Manual,Ahmedabad,6892787.25
Mercedes,S-Class,2007,77172,Petrol,Manual,New Delhi,9188424.2
Hyundai,Creta,2001,80552,Petrol,Manual,Hyderabad,267917.2
Toyota,Fortuner,2022,72497,CNG,Automatic,Pune,3289125.45
Maruti Suzuki,Dzire,2002,10223,Diesel,Automatic,Mumbai,50000.0
Toyota,Fortuner,2015,37051,Electric,Manual,Mumbai,3064442.35
Ford,Endeavour,2024,5713,Petrol,Automatic,Kolkata,2929143.05
Tata,Altroz,2019,113348,CNG,Automatic,Ahmedabad,282997.8
Toyota,Corolla,2006,100757,Electric,Automatic,Pune,184886.45
Maruti Suzuki,Vitara Brezza,2017,22288,Petrol,Manual,Ahmedabad,366656.8
Toyota,Innova,2004,56941,Petrol,Manual,Mumbai,571458.85
Audi,Q5,2020,5970,Diesel,Automatic,New Delhi,5769104.5
Ford,EcoSport,2000,83887,Petrol,Manual,Hyderabad,50000.0
BMW,X5,2009,125549,Petrol,Manual,New Delhi,7211167.65
Hyundai,Elantra,2021,45636,Petrol,Manual,Hyderabad,1113154.6
Honda,Jazz,2006,167665,Electric,Automatic,Kolkata,50000.0
Toyota,Fortuner,2017,161890,Electric,Manual,Ahmedabad,3045716.5
Toyota,Innova,2001,138393,CNG,Manual,Chennai,359241.05
Hyundai,Creta,2018,39633,Diesel,Automatic,Mumbai,1194055.05
Honda,Civic,2006,196572,Petrol,Manual,Mumbai,50000.0
Honda,Jazz,2021,97962,Petrol,Manual,Mumbai,615305.7
Nissan,Magnite,2013,184358,Diesel,Automatic,Bangalore,50000.0
Nissan,Terrano,2014,165730,Diesel,Automatic,Bangalore,825140.5
BMW,3 Series,2014,92933,Diesel,Automatic,Hyderabad,3436060.05
Nissan,Kicks,2012,57601,Diesel,Automatic,Hyderabad,491359.85
Toyota,Corolla,2004,55014,Electric,Automatic,Chennai,191747.9
Maruti Suzuki,Dzire,2020,92205,Petrol,Manual,Bangalore,456169.25
Maruti Suzuki,Vitara Brezza,2005,8161,Petrol,Automatic,Bangalore,50000.0
Ford,EcoSport,2004,168767,Diesel,Automatic,Hyderabad,50000.0
Nissan,Terrano,2013,102334,Electric,Manual,New Delhi,734649.9
Audi,A4,2009,88656,CNG,Manual,Ahmedabad,3706701.6
Audi,A4,2005,181764,CNG,Manual,Kolkata,3522735.4
Ford,Fiesta,2019,164436,Diesel,Manual,New Delhi,275334.6
Ford,Endeavour,2005,143153,Petrol,Manual,Pune,1998527.05
Audi,Q5,2016,86453,Electric,Manual,Kolkata,5567032.05
Honda,Jazz,2005,44625,Diesel,Manual,Pune,50000.0
Maruti Suzuki,Vitara Brezza,2010,152995,Petrol,Automatic,Chennai,50000.0
Tata,Harrier,2015,148941,CNG,Automatic,Kolkata,1127658.85
Maruti Suzuki,Swift,2003,77217,CNG,Automatic,Ahmedabad,50000.0
Audi,A6,2003,38998,CNG,Manual,Bangalore,4394150.3
Mercedes,E-Class,2007,128485,Electric,Manual,Bangalore,5660727.25
Hyundai,Creta,2019,194587,CNG,Automatic,Pune,1190811.95
BMW,M3,2023,52367,Diesel,Automatic,Ahmedabad,7422144.95
Mercedes,C-Class,2006,51175,Electric,Manual,Kolkata,3992323.75
Hyundai,Creta,2020,77169,CNG,Manual,Hyderabad,1258424.65
BMW,M3,2011,6443,CNG,Manual,Chennai,6799033.55
Nissan,Terrano,2013,27659,Electric,Automatic,New Delhi,715851.15
Toyota,Innova,2013,45667,CNG,Manual,Mumbai,1013149.95
Audi,A4,2018,183417,Diesel,Automatic,Pune,4072487.45
Mercedes,S-Class,2011,132147,Diesel,Automatic,Chennai,9310177.95
Nissan,Magnite,2020,81707,Electric,Automatic,Ahmedabad,387743.95
Maruti Suzuki,Swift,2004,162582,Diesel,Manual,Kolkata,50000.0
Mercedes,E-Class,2016,63806,Petrol,Automatic,Bangalore,6110429.1
Nissan,Magnite,2016,78242,Diesel,Manual,Mumbai,188263.7
Toyota,Corolla,2007,112339,Diesel,Manual,Bangalore,383149.15
Toyota,Fortuner,2017,72166,Electric,Manual,Kolkata,3109175.1
Nissan,Kicks,2017,127169,Electric,Manual,Chennai,750924.65
Tata,Harrier,2009,179830,Electric,Automatic,Kolkata,893025.5
Tata,Harrier,2023,13094,Petrol,Automatic,Hyderabad,1648035.9
Nissan,Magnite,2008,90329,Petrol,Automatic,Hyderabad,50000.0
Maruti Suzuki,Dzire,2008,79756,Diesel,Manual,Ahmedabad,50000.0
Tata,Harrier,2012,149329,Electric,Automatic,Chennai,977600.65
Mercedes,E-Class,2011,104934,CNG,Automatic,Bangalore,5834259.9
Nissan,Magnite,2012,127898,Electric,Manual,Pune,50000.0
Audi,Q5,2008,81964,CNG,Manual,Mumbai,5187705.4
Honda,Civic,2002,122436,Petrol,Manual,Chennai,50000.0
Nissan,Terrano,2021,116540,Diesel,Manual,Mumbai,1182519.0
Ford,Endeavour,2013,74756,Petrol,Automatic,Ahmedabad,2418786.6
Maruti Suzuki,Vitara Brezza,2010,67105,CNG,Manual,New Delhi,139934.25
Toyota,Fortuner,2013,46914,CNG,Automatic,Pune,2922962.9
Honda,Jazz,2022,138637,CNG,Manual,Ahmedabad,529204.45
Maruti Suzuki,Vitara Brezza,2011,42456,Diesel,Automatic,Pune,123631.6
Honda,City,2008,131354,CNG,Manual,Bangalore,180296.9
Maruti Suzuki,Vitara Brezza,2020,164976,Electric,Manual,Pune,475253.6
Mercedes,S-Class,2017,146554,Diesel,Automatic,Mumbai,9648016.9
Audi,A4,2007,9136,CNG,Manual,New Delhi,3628629.6
Mercedes,S-Class,2021,91174,CNG,Manual,Hyderabad,9736323.9
Ford,Endeavour,2015,139720,Diesel,Manual,Bangalore,2529042.0
Hyundai,Creta,2005,190816,Diesel,Manual,Hyderabad,521377.6
Honda,City,2009,161136,Electric,Automatic,Mumbai,195829.6
Hyundai,Elantra,2010,99191,Diesel,Automatic,New Delhi,615121.35
Toyota,Corolla,2011,102450,CNG,Automatic,New Delhi,484632.5
Hyundai,Elantra,2013,165833,Electric,Automatic,Mumbai,725125.05
Ford,Fiesta,2021,78472,CNG,Manual,Hyderabad,408229.2
Hyundai,Verna,2014,154504,Electric,Automatic,Ahmedabad,296824.4
Nissan,Magnite,2003,35699,Petrol,Manual,Chennai,50000.0
Toyota,Corolla,2021,196277,Diesel,Automatic,Mumbai,990558.45
Hyundai,Elantra,2005,7313,CNG,Manual,Bangalore,318903.05
Tata,Nexon,2004,10077,Petrol,Manual,Mumbai,50000.0
Maruti Suzuki,Dzire,2020,114200,Diesel,Automatic,New Delhi,482870.0
Nissan,Magnite,2024,150191,Diesel,Automatic,Bangalore,600000.0
Mercedes,E-Class,2021,98960,CNG,Automatic,Chennai,6255156.0
Honda,Jazz,2008,66915,Diesel,Automatic,Hyderabad,50000.0
Tata,Altroz,2020,152002,Electric,Automatic,Hyderabad,277199.7
Nissan,Magnite,2011,54383,CNG,Manual,Mumbai,50000.0
Hyundai,Verna,2001,46189,Electric,Manual,Pune,50000.0
Tata,Harrier,2001,199949,Diesel,Manual,Kolkata,490007.65
Mercedes,E-Class,2011,191195,Petrol,Manual,Bangalore,5791320.75
Ford,Fiesta,2015,174814,Electric,Manual,Bangalore,143777.9
Audi,Q5,2012,80462,CNG,Manual,Hyderabad,5357930.7
Ford,EcoSport,2001,145041,Electric,Manual,Ahmedabad,50000.0
Tata,Nexon,2003,136206,Diesel,Manual,Hyderabad,50000.0
Mercedes,E-Class,2012,10655,Electric,Manual,New Delhi,5868401.75
Tata,Harrier,2000,66991,Petrol,Manual,Mumbai,469951.35
Mercedes,S-Class,2012,108225,Diesel,Automatic,Kolkata,9353766.25
Tata,Nexon,2002,87213,Electric,Manual,Ahmedabad,50000.0
BMW,3 Series,2010,77893,CNG,Manual,Pune,3188316.05
Ford,Endeavour,2004,142530,CNG,Automatic,Kolkata,1948620.5
Honda,Civic,2020,97371,CNG,Manual,Chennai,405394.35
Tata,Harrier,2008,82185,CNG,Manual,Chennai,837672.25
BMW,X5,2015,142204,Diesel,Manual,Pune,7498669.4
Mercedes,S-Class,2009,166044,Electric,Automatic,Kolkata,9125093.4
Mercedes,E-Class,2005,88323,Diesel,Manual,Mumbai,5506751.55
Ford,Endeavour,2012,57927,Diesel,Manual,Mumbai,2361310.95
Hyundai,Verna,2024,90576,Petrol,Manual,Kolkata,836413.6
Tata,Harrier,2015,45795,Petrol,Manual,New Delhi,1293130.75
Mercedes,E-Class,2023,131336,Petrol,Automatic,Kolkata,6350299.6
Ford,Fiesta,2006,137619,CNG,Manual,Kolkata,50000.0
Hyundai,Elantra,2014,20434,Petrol,Automatic,Hyderabad,696934.9
Ford,EcoSport,2013,73080,Petrol,Automatic,Chennai,219038.0
Toyota,Corolla,2005,172165,Electric,Automatic,Chennai,194175.25
BMW,3 Series,2000,93554,Petrol,Automatic,Pune,2735966.9
Tata,Nexon,2020,120495,Diesel,Automatic,New Delhi,651925.75
Maruti Suzuki,Swift,2020,123628,CNG,Manual,Kolkata,331455.8
Nissan,Magnite,2013,118484,Petrol,Automatic,Bangalore,62227.4
Hyundai,Elantra,2010,42865,Diesel,Automatic,New Delhi,593570.25
Mercedes,C-Class,2003,45553,Petrol,Automatic,Hyderabad,3863167.05
Mercedes,E-Class,2010,27590,Diesel,Manual,Bangalore,5825861.5
Maruti Suzuki,Dzire,2014,100957,Petrol,Manual,Hyderabad,114856.45
Toyota,Corolla,2006,82915,Petrol,Manual,Mumbai,267562.75
Toyota,Corolla,2019,179938,Electric,Manual,New Delhi,893009.3
Hyundai,Elantra,2015,136238,Electric,Automatic,Chennai,829564.3
Tata,Nexon,2020,166942,Diesel,Manual,Pune,604958.7
Nissan,Terrano,2011,97830,CNG,Automatic,Pune,615325.5
Tata,Altroz,2003,77367,Petrol,Manual,Kolkata,50000.0
Toyota,Innova,2017,38879,Electric,Automatic,Pune,1194168.15
Hyundai,Elantra,2024,119990,Petrol,Automatic,Hyderabad,1212001.5
Audi,A4,2022,77125,Electric,Manual,Kolkata,4288431.25
Hyundai,Elantra,2022,179338,Petrol,Manual,Bangalore,1173099.3
Mercedes,E-Class,2023,84266,CNG,Manual,Chennai,6357360.1
Honda,Jazz,2018,172443,Electric,Automatic,New Delhi,474133.55
Hyundai,Verna,2013,19747,Diesel,Automatic,Ahmedabad,327037.95
Honda,City,2020,132827,Electric,Manual,New Delhi,780075.95
Maruti Suzuki,Vitara Brezza,2014,169136,Diesel,Automatic,Chennai,194629.6
Honda,City,2013,134531,CNG,Automatic,Chennai,359820.35
Mercedes,S-Class,2000,134352,Petrol,Automatic,Ahmedabad,8779847.2
Tata,Nexon,2023,107454,Petrol,Automatic,Ahmedabad,733881.9
Nissan,Kicks,2012,159925,Petrol,Manual,Kolkata,526011.25
Toyota,Fortuner,2013,176649,Diesel,Manual,Ahmedabad,2923502.65
BMW,X5,2014,68604,Petrol,Automatic,Hyderabad,7409709.4
Nissan,Terrano,2006,197318,CNG,Manual,Mumbai,340402.3
Mercedes,C-Class,2009,173384,CNG,Manual,Kolkata,4193992.4
Honda,Civic,2016,175744,Petrol,Automatic,Chennai,223638.4
Toyota,Corolla,2003,181562,Diesel,Manual,Ahmedabad,50000.0
Audi,Q5,2020,100928,Petrol,Automatic,Hyderabad,5704860.8
Hyundai,Elantra,2001,194876,Diesel,Manual,Kolkata,70768.6
Hyundai,Elantra,2017,70228,CNG,Manual,Chennai,859465.8
Toyota,Corolla,2012,68385,CNG,Manual,Pune,489742.25
Mercedes,S-Class,2004,100801,Petrol,Automatic,Chennai,8884879.85
Tata,Harrier,2009,141678,Electric,Automatic,Pune,878748.3
Audi,A4,2022,190722,Diesel,Manual,Kolkata,4321391.7
Hyundai,Elantra,2020,10967,Petrol,Automatic,Bangalore,1048354.95
Mercedes,S-Class,2023,199443,Petrol,Manual,Pune,9920083.55
Honda,Jazz,2001,123914,CNG,Manual,Ahmedabad,50000.0
Tata,Harrier,2009,105147,Diesel,Manual,Chennai,854227.95
Maruti Suzuki,Swift,2009,179326,Electric,Manual,Bangalore,50000.0
Honda,Civic,2019,43024,CNG,Automatic,Bangalore,423546.4
Hyundai,Verna,2007,196737,CNG,Automatic,Hyderabad,50000.0
Honda,Civic,2000,19164,CNG,Manual,Pune,50000.0
Maruti Suzuki,Swift,2006,160407,CNG,Automatic,Ahmedabad,50000.0
Maruti Suzuki,Swift,2017,38188,Electric,Automatic,New Delhi,244271.8
Ford,Fiesta,2016,36318,Diesel,Manual,New Delhi,194552.3
Mercedes,C-Class,2011,113657,Diesel,Manual,Pune,4282951.45
Honda,City,2007,54531,Electric,Manual,Bangalore,111820.35
Honda,City,2003,199675,Electric,Automatic,New Delhi,50000.0
Audi,A4,2018,116409,Petrol,Automatic,Kolkata,4082538.65
Hyundai,Verna,2006,105547,Electric,Automatic,New Delhi,50000.0
Maruti Suzuki,Vitara Brezza,2015,87738,Electric,Automatic,Pune,256839.3
Nissan,Magnite,2001,67122,CNG,Automatic,Bangalore,50000.0
Mercedes,E-Class,2012,186274,Electric,Automatic,Ahmedabad,5842058.9
Honda,Civic,2006,138981,Diesel,Automatic,Ahmedabad,50000.0
BMW,3 Series,2000,95213,Diesel,Automatic,Pune,2685718.05
Toyota,Fortuner,2019,128419,Electric,Automatic,Chennai,3180737.15
Nissan,Kicks,2018,73304,CNG,Automatic,Kolkata,809004.4
Honda,Jazz,2024,135826,Electric,Automatic,Hyderabad,679626.1
Hyundai,Verna,2020,122631,Petrol,Automatic,Pune,651605.35
Nissan,Kicks,2011,53947,CNG,Automatic,Kolkata,511907.95
Hyundai,Creta,2016,78509,CNG,Automatic,Mumbai,1088223.65
BMW,M3,2019,136909,Electric,Manual,Bangalore,7229463.65
Hyundai,Verna,2013,92211,CNG,Automatic,Hyderabad,286168.35
Hyundai,Verna,2008,93828,CNG,Manual,Mumbai,55925.8
BMW,X5,2019,109411,CNG,Manual,Mumbai,7703588.35
Honda,Civic,2024,152005,Diesel,Manual,Kolkata,577199.25
BMW,M3,2007,76288,CNG,Manual,Hyderabad,6608556.8
Ford,EcoSport,2024,100588,Diesel,Automatic,New Delhi,754911.8
Audi,A4,2009,31557,Petrol,Automatic,Pune,3715266.45
Nissan,Kicks,2002,175784,Diesel,Automatic,Bangalore,103632.4
BMW,3 Series,2013,119656,CNG,Automatic,Bangalore,3412051.6
Ford,Endeavour,2009,26108,CNG,Manual,Pune,2216083.8
Nissan,Terrano,2000,139931,CNG,Manual,Kolkata,50000.0
Honda,City,2007,197269,Petrol,Automatic,Bangalore,120409.65
Maruti Suzuki,Swift,2021,116670,Diesel,Automatic,Chennai,332499.5
Honda,Jazz,2019,182505,Diesel,Automatic,Chennai,442624.25
Mercedes,S-Class,2012,154634,Electric,Manual,Pune,9306804.9
Ford,Fiesta,2023,164267,Petrol,Manual,Bangalore,475359.95
Toyota,Fortuner,2001,8963,Electric,Manual,Bangalore,2348655.55
Honda,City,2006,196061,Diesel,Manual,Ahmedabad,50000.0
Hyundai,Creta,2019,12555,CNG,Automatic,Chennai,1168116.75
Ford,EcoSport,2002,124014,Electric,Automatic,Chennai,50000.0
Audi,A6,2001,184490,CNG,Automatic,Mumbai,4372326.5
Maruti Suzuki,Vitara Brezza,2024,119434,Electric,Automatic,Ahmedabad,732084.9
Mercedes,E-Class,2003,52646,Diesel,Manual,Mumbai,5392103.1
Tata,Harrier,2024,23537,Petrol,Automatic,Hyderabad,1596469.45
Maruti Suzuki,Dzire,2000,194140,CNG,Manual,Hyderabad,50000.0
Hyundai,Creta,2001,34807,Diesel,Automatic,New Delhi,314778.95
Hyundai,Creta,2015,113009,Electric,Automatic,Pune,1003048.65
Honda,Civic,2012,137373,Diesel,Automatic,Hyderabad,79394.05
Audi,Q5,2004,148050,Diesel,Manual,Ahmedabad,4927792.5
Honda,Jazz,2005,75742,CNG,Automatic,Bangalore,50000.0
Hyundai,Creta,2010,92190,Diesel,Manual,New Delhi,816171.5
Maruti Suzuki,Vitara Brezza,2005,32687,CNG,Manual,New Delhi,50000.0
Audi,A4,2001,141422,Diesel,Manual,Kolkata,3228786.7
Audi,A6,2016,16840,Diesel,Automatic,Mumbai,5067474.0
Ford,Fiesta,2018,86914,Diesel,Manual,Ahmedabad,286962.9
Mercedes,E-Class,2006,34895,Electric,Manual,Hyderabad,5494765.75
Mercedes,E-Class,2009,188560,Electric,Automatic,New Delhi,5701716.0
Honda,City,2012,162850,CNG,Manual,Bangalore,425572.5
Hyundai,Verna,2018,39035,Petrol,Automatic,Ahmedabad,544144.75
Ford,EcoSport,2015,105719,CNG,Automatic,New Delhi,284142.15
Tata,Harrier,2006,144283,Diesel,Manual,Mumbai,778357.55
Maruti Suzuki,Vitara Brezza,2000,176628,CNG,Manual,Pune,50000.0
Hyundai,Verna,2023,5245,CNG,Automatic,New Delhi,869213.25
BMW,M3,2012,100177,Petrol,Manual,Kolkata,6784973.45
Honda,City,2021,157057,Electric,Automatic,Kolkata,746441.45
Tata,Harrier,2005,68338,CNG,Automatic,Pune,669749.3
Honda,Jazz,2005,144812,Electric,Manual,Kolkata,50000.0
Nissan,Kicks,2015,5802,CNG,Automatic,Kolkata,719129.7
Tata,Altroz,2022,96805,Electric,Manual,Kolkata,385479.25
BMW,M3,2007,100385,CNG,Manual,Chennai,6564942.25
Ford,Fiesta,2015,17040,Diesel,Automatic,Mumbai,167444.0
Audi,Q5,2019,48991,Diesel,Manual,Mumbai,5712651.35
BMW,M3,2013,78249,Electric,Manual,Hyderabad,6888262.65
Ford,Endeavour,2008,187715,Diesel,Manual,New Delhi,2121842.75
Hyundai,Elantra,2002,143879,Electric,Manual,Bangalore,228418.15
Nissan,Kicks,2018,8810,Diesel,Manual,Kolkata,818678.5
Ford,Fiesta,2018,198303,CNG,Manual,Ahmedabad,220254.55
BMW,M3,2005,165285,Electric,Manual,Chennai,6475207.25
Toyota,Corolla,2008,81661,Diesel,Automatic,Pune,287750.85
Nissan,Kicks,2022,48094,Electric,Automatic,Mumbai,1092785.9
Nissan,Terrano,2016,159013,Electric,Manual,Hyderabad,776148.05
Hyundai,Verna,2017,20603,Petrol,Manual,Kolkata,496909.55
Nissan,Magnite,2011,145758,CNG,Automatic,Bangalore,50000.0
Ford,Fiesta,2020,52494,Diesel,Automatic,Ahmedabad,372125.9
Ford,EcoSport,2016,83664,Petrol,Manual,Hyderabad,317450.4
Tata,Harrier,2012,132124,CNG,Automatic,New Delhi,1130181.4
Ford,Endeavour,2013,39957,Electric,Manual,Hyderabad,2344006.45
Hyundai,Creta,2000,97780,Petrol,Automatic,New Delhi,285333.0
Hyundai,Creta,2021,22852,CNG,Automatic,Ahmedabad,1296572.2
Tata,Nexon,2000,42309,Petrol,Automatic,Chennai,50000.0
BMW,M3,2013,14119,CNG,Automatic,Pune,6897882.15
Nissan,Kicks,2012,37698,Electric,Manual,Chennai,564345.3
Audi,A4,2020,170165,Diesel,Automatic,Mumbai,4274475.25
Tata,Nexon,2016,41866,Petrol,Manual,Pune,443720.1
Honda,Civic,2011,10412,CNG,Manual,Chennai,50000.0
Hyundai,Creta,2016,152648,Electric,Manual,New Delhi,1097102.8
BMW,3 Series,2001,185935,Petrol,Manual,Pune,2792109.75
Ford,Endeavour,2010,115014,CNG,Automatic,Kolkata,2252747.9
Audi,A4,2005,99841,CNG,Automatic,Bangalore,3585023.85
Mercedes,E-Class,2023,5984,Diesel,Automatic,New Delhi,6429102.4
Tata,Harrier,2001,162928,Diesel,Automatic,New Delhi,555560.8
Mercedes,S-Class,2016,135725,Electric,Manual,Pune,9509641.25
Honda,Civic,2024,102391,Petrol,Manual,Ahmedabad,584641.35
Toyota,Innova,2009,159746,CNG,Manual,Chennai,796038.1
Ford,Fiesta,2007,51019,Electric,Manual,Bangalore,50000.0
Honda,Jazz,2019,78877,Diesel,Manual,Hyderabad,438168.45
Mercedes,S-Class,2009,24913,Diesel,Automatic,Kolkata,9166263.05
Honda,Civic,2001,182716,CNG,Automatic,New Delhi,50000.0
Maruti Suzuki,Swift,2005,164339,Petrol,Manual,Chennai,50000.0
Honda,City,2021,181347,Petrol,Manual,New Delhi,772797.95
BMW,X5,2019,108614,CNG,Manual,Mumbai,7683707.9
BMW,X5,2022,143820,Electric,Manual,New Delhi,7928427.0
Hyundai,Creta,2013,53486,Diesel,Automatic,Chennai,911977.1
Audi,A4,2013,167378,Electric,Automatic,Ahmedabad,3844893.3
Mercedes,C-Class,2022,192347,Petrol,Manual,Hyderabad,4821147.95
Tata,Harrier,2023,26163,Electric,Automatic,Ahmedabad,1646075.55
Hyundai,Verna,2001,45126,CNG,Manual,Ahmedabad,50000.0
Maruti Suzuki,Vitara Brezza,2017,197757,CNG,Manual,Pune,370336.45
Toyota,Innova,2008,69696,CNG,Manual,Mumbai,789545.6
Tata,Altroz,2010,142507,Electric,Automatic,Hyderabad,50000.0
Tata,Harrier,2007,30976,CNG,Manual,Hyderabad,815353.6
Ford,Endeavour,2024,62518,CNG,Automatic,Kolkata,2910622.3
Maruti Suzuki,Dzire,2024,5637,Electric,Automatic,Mumbai,619154.45
BMW,M3,2005,131031,Petrol,Automatic,Mumbai,6530345.35
Ford,EcoSport,2005,139665,Petrol,Manual,Bangalore,50000.0
BMW,M3,2021,124403,CNG,Manual,Hyderabad,7311339.55
BMW,M3,2021,59820,CNG,Automatic,Hyderabad,7291027.0
BMW,X5,2017,41425,Diesel,Automatic,Pune,7593786.25
Toyota,Fortuner,2006,174574,Electric,Manual,Bangalore,2523813.9
Toyota,Innova,2015,33530,Electric,Automatic,Hyderabad,1094970.5
Toyota,Innova,2010,180076,Diesel,Automatic,Hyderabad,852988.6
Maruti Suzuki,Dzire,2024,125628,Electric,Automatic,Ahmedabad,551155.8
Hyundai,Creta,2007,146115,CNG,Automatic,Bangalore,648082.75
Toyota,Innova,2007,168009,Petrol,Manual,Pune,624798.65
Toyota,Corolla,2013,101358,Petrol,Automatic,Ahmedabad,614796.3
Toyota,Corolla,2024,70949,Electric,Manual,Bangalore,1159357.65
Hyundai,Verna,2004,175239,Electric,Manual,Kolkata,50000.0
Mercedes,E-Class,2023,174803,Electric,Automatic,Bangalore,6403779.55
Toyota,Innova,2007,121495,Petrol,Manual,New Delhi,751775.75
Maruti Suzuki,Vitara Brezza,2015,82978,Electric,Automatic,New Delhi,307553.3
Tata,Altroz,2020,141488,Petrol,Manual,Pune,328776.8
BMW,M3,2004,92169,Electric,Manual,Kolkata,6456174.65
Mercedes,S-Class,2016,46218,Petrol,Manual,Pune,9543067.3
Toyota,Fortuner,2003,197109,Diesel,Automatic,Hyderabad,2370433.65
Hyundai,Elantra,2017,162643,Diesel,Manual,Bangalore,925603.55
BMW,3 Series,2009,89293,Electric,Manual,Pune,3186606.05
